Designator,Mid X,Mid Y,Rotation,Layer
C1,217.3271,-78.8256,180.0,bottom
C10,143.261835,-65.562673,90.0,bottom
C11,153.2636,-69.021073,180.0,bottom
C12,140.688,-72.877,0.0,bottom
C13,153.2636,-72.755,180.0,bottom
C14,147.071835,-78.3898,270.0,bottom
C15,141.4552,-68.106673,0.0,bottom
C16,141.4552,-67.090673,0.0,bottom
C17,148.442423,-80.5528,180.0,bottom
C18,146.128423,-80.5528,0.0,bottom
C19,140.843,-62.595,0.0,bottom
C2,219.8671,-78.8256,0.0,bottom
C20,164.719,-61.119952,180.0,bottom
C21,164.719,-72.626152,180.0,bottom
C22,145.039835,-78.3898,90.0,bottom
C23,213.614,-78.216,270.0,bottom
C24,233.934,-78.216,270.0,bottom
C25,134.112,-70.342,90.0,bottom
C3,240.1363,-78.8256,0.0,bottom
C4,237.5963,-78.8256,180.0,bottom
C5,152.4,-57.133873,180.0,bottom
C6,148.336,-64.601473,90.0,bottom
C7,146.055835,-78.3898,270.0,bottom
C8,144.277835,-65.566673,90.0,bottom
C9,147.3429,-64.6017,90.0,bottom
D1,75.4841,-92.3384,180.0,top
D10,197.4041,-112.6584,0.0,top
D11,177.1095,-112.6584,0.0,top
D12,156.7641,-112.6584,0.0,top
D13,136.4441,-112.6584,0.0,top
D14,116.1241,-112.6584,0.0,top
D15,95.8041,-112.6584,0.0,top
D16,75.4841,-112.6584,0.0,top
D17,75.4841,-132.9784,180.0,top
D18,95.8041,-132.9784,180.0,top
D19,116.1241,-132.9784,180.0,top
D2,95.8041,-92.3384,180.0,top
D20,136.4441,-132.9784,180.0,top
D21,156.7641,-132.9784,180.0,top
D22,177.0841,-132.9784,180.0,top
D23,197.4041,-132.9784,180.0,top
D24,217.7241,-132.9784,180.0,top
D25,55.2149,-61.8584,0.0,top
D26,75.539,-61.8584,0.0,top
D27,55.1641,-122.8184,180.0,top
D28,238.76,-130.54,270.0,top
D29,238.76,-125.46,270.0,top
D3,116.1241,-92.3384,180.0,top
D30,238.76,-120.38,270.0,top
D31,238.76,-115.3,270.0,top
D32,238.76,-110.22,270.0,top
D33,238.76,-105.14,270.0,top
D4,136.4441,-92.3384,180.0,top
D5,156.7641,-92.3384,180.0,top
D6,177.0841,-92.3384,180.0,top
D7,197.4041,-92.3384,180.0,top
D8,217.7241,-92.3384,180.0,top
D9,217.7241,-112.6584,0.0,top
J1,166.3192,-88.0712,90.0,bottom
J3,147.4311,-66.965,0.0,top
JP1,166.116,-56.88,270.0,bottom
R1,216.0571,-77.5556,180.0,bottom
R10,210.7946,-94.0656,0.0,bottom
R11,211.836,-92.9734,180.0,bottom
R12,146.309835,-65.564673,270.0,bottom
R13,145.293835,-65.562673,270.0,bottom
R15,156.6672,-56.598473,90.0,bottom
R16,148.087835,-78.3938,270.0,bottom
R17,149.098,-56.372,90.0,bottom
R18,138.938,-75.676,180.0,bottom
R19,146.05,-56.372,90.0,bottom
R2,221.1371,-77.5556,0.0,bottom
R20,138.934,-77.708,180.0,bottom
R21,138.936,-74.66,180.0,bottom
R22,138.936,-76.692,180.0,bottom
R23,134.112,-75.422,90.0,bottom
R3,216.0571,-80.0956,0.0,bottom
R4,221.1371,-80.0956,180.0,bottom
R5,241.4851,-80.0956,180.0,bottom
R6,236.3263,-80.0956,0.0,bottom
R7,241.4063,-77.5556,0.0,bottom
R8,236.3263,-77.5556,180.0,bottom
R9,208.8154,-92.9734,0.0,bottom
SW1,217.54,-99.7075,0.0,top
SW10,156.58,-99.7075,0.0,top
SW11,156.58,-120.0275,0.0,top
SW12,156.58,-140.3475,0.0,top
SW13,136.26,-99.7075,0.0,top
SW14,136.26,-120.0275,0.0,top
SW15,136.26,-140.3475,0.0,top
SW16,115.94,-99.7075,0.0,top
SW17,115.94,-120.0275,0.0,top
SW18,115.94,-140.3475,0.0,top
SW19,95.62,-99.7075,0.0,top
SW2,217.54,-120.0275,0.0,top
SW20,95.62,-120.0275,0.0,top
SW21,95.62,-140.3475,0.0,top
SW22,75.3,-99.7075,0.0,top
SW23,75.3,-120.0275,0.0,top
SW24,75.3,-140.3475,0.0,top
SW25,218.44,-67.04,90.0,top
SW26,54.98,-69.2275,0.0,top
SW27,75.3,-69.2275,0.0,top
SW28,54.98,-130.1875,0.0,top
SW29,238.76,-67.04,90.0,top
SW3,217.54,-140.3475,0.0,top
SW4,197.22,-99.7075,0.0,top
SW5,197.22,-120.0275,0.0,top
SW6,197.22,-140.3475,0.0,top
SW7,176.9,-99.7075,0.0,top
SW8,176.9,-120.0275,0.0,top
SW9,176.9,-140.3475,0.0,top
U1,208.28,-122.285,270.0,bottom
U10,147.32,-122.285,270.0,bottom
U11,147.32,-142.605,270.0,bottom
U12,127.0,-101.965,270.0,bottom
U13,127.0,-122.285,270.0,bottom
U14,127.0,-142.605,270.0,bottom
U15,106.68,-101.965,270.0,bottom
U16,106.68,-122.285,270.0,bottom
U17,106.68,-142.605,270.0,bottom
U18,86.36,-101.965,270.0,bottom
U19,86.36,-122.285,270.0,bottom
U2,208.28,-142.605,270.0,bottom
U20,86.36,-142.605,270.0,bottom
U21,66.04,-101.965,270.0,bottom
U22,66.04,-122.285,270.0,bottom
U23,66.04,-142.605,270.0,bottom
U24,45.72,-71.485,270.0,bottom
U25,208.28,-101.965,270.0,bottom
U26,66.04,-71.485,270.0,bottom
U27,134.874,-72.882,0.0,bottom
U28,66.04,-132.445,270.0,bottom
U29,164.719,-66.961952,270.0,bottom
U3,187.96,-101.965,270.0,bottom
U30,147.32,-71.6125,0.0,bottom
U31,147.32,-51.625,180.0,bottom
U32,154.1272,-60.918473,180.0,bottom
U33,157.988,-53.578,0.0,bottom
U34,136.652,-53.578,180.0,bottom
U4,187.96,-122.285,270.0,bottom
U5,187.96,-142.605,270.0,bottom
U6,167.64,-101.965,270.0,bottom
U7,167.64,-122.285,270.0,bottom
U8,167.64,-142.605,270.0,bottom
U9,147.32,-101.965,270.0,bottom
X2,147.32,-83.042,0.0,bottom
